Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Скиба,Роман,Володимирович,Ч,29.11.2004,М'ясник,місто Сіверськ,"шосе Оранжерейний, буд. 1 кв. 3, Кам'янець-Подільський, 93863",582-79-04,vitaliialeksiichuk@example.org
Дейсун,Камілла,Сергіївна,Ж,03.11.1980,Краєзнавець,село Іршава,"проспект Басейна, буд. 3 кв. 0, Ніжин, 66417",111-99-17,whavriushenko@example.com
Тихий,Стефан,Олексійович,Ч,12.08.1985,Фармацевт,місто Добропілля,"площа Перемоги, буд. 15, Снятин, 02907",+380 34 530-42-54,atamaniukviacheslav@example.org
Туркало,Григорій,Олексійович,Ч,16.04.1996,Антрополог,село Баштанка,"проспект Каманіна, буд. 9, Ямпіль, 43542",000 283-93-93,emiliia36@example.com
Гайдай,Ігор,Михайлович,Ч,06.06.1956,Пілот,село Косів,"набережна Яружний, буд. 92, Баштанка, 18049",051 314 78 50,ocharnysh@example.net
Вакуленко,Оксана,Петрівна,Ж,12.11.1942,Футболіст,село Добромиль,"вулиця Шкільний, буд. 588, Дебальцеве, 09451",+380 59 670 60 49,chervonenkokostiantyn@example.com
Влох,Лариса,Богданівна,Ж,03.12.1940,Математик,місто Коломия,"набережна Новоберегова, буд. 57, Турка, 31638",+380 59 740-14-43,qkarmaliuk@example.org
Романчук,Ірина,Єгорівна,Ж,12.03.1994,Машиніст,село Авдіївка,"площа Заводська 3-тя, буд. 3, Кам'янка (Черкаська область), 19230",602-46-56,iaroslava14@example.org
Шеремет,Марія,Петрівна,Ж,06.02.2007,Візажист,село Антрацит ,"шосе Ольгіївська, буд. 56 кв. 1, Берестечко, 24963",+380 87 618 85 81,iemelianenkoiustym@example.com
Баранець,Камілла,Андріївна,Ж,11.02.1941,Музикант,селище Копичинці,"вулиця Львівський, буд. 05 кв. 2, Бершадь, 65816",042 726 94 97,sofiia56@example.com
Зубко,Ярема,Єгорович,Ч,30.10.1973,Клавішник,село Коростишів,"площа Авіаційна, буд. 188 кв. 234, Вишгород, 31913",087 730 30 20,korpaniukviacheslav@example.com
Бабариченко,Григорій,Олексійович,Ч,26.11.1956,Дантист,місто Шостка,"площа Липнева, буд. 878 кв. 4, Білгород-Дністровський, 87342",+380 (00) 165-96-87,qzaporozhets@example.com
Швайка,Мирослав,Андрійович,Ч,13.09.1938,Письменник,селище Хмельницький,"набережна Аеродромний 2-й, буд. 42, Вугледар, 20025",+380 51 273 40 23,yzabila@example.net
Канівець,Йосип,Богданович,Ч,05.02.1953,Гицель,село Мелітополь,"парк Волна тупик, буд. 0 кв. 275, Дубровиця, 96262",+380 44 950-07-33,ustus@example.org
Ковалюк,Мирон,Петрович,Ч,05.06.1978,Перекладач,місто Камінь-Каширський,"парк Коцебу міст, буд. 5, Миронівка, 92244",094 742-50-89,adamvertyporokh@example.net
Демиденко,Любов,Сергіївна,Ж,13.04.1943,Геофізик,селище Свалява,"проспект Керченська, буд. 7 кв. 2, Щолкіне, 49418",+380 30 821-81-62,orkhyphaidai@example.org
Баран,Галина,Олексіївна,Ж,15.01.1948,Продюсер,хутір Болехів,"вулиця Хаджибейський 1-й, буд. 075 кв. 03, Новодружеськ, 11055",+380 76 142-53-93,marianakozachenko@example.net
Артимович,Григорій,Дмитрович,Ч,05.07.1971,Інженер,село Ямпіль,"проспект Тульська, буд. 30 кв. 359, Хрустальний, 70993",+380 66 002-65-31,dsuprunenko@example.org
Ященко,Марта,Єгорівна,Ж,16.02.2003,Професор,місто Чигирин,"проспект Юхима Геллера, буд. 95 кв. 841, Чугуїв, 05202",392 76 43,roksolana29@example.com
Гречко,Андрій,Богданович,Ч,05.03.1974,Інженер,хутір Олевськ,"площа Карантинний узвіз, буд. 84, Сміла, 96213",909 30 46,galaganhennadii@example.net
Артимишин,Леонід,Єгорович,Ч,11.09.1997,Професор,хутір Зоринськ,"провулок Пересипська 1-ша, буд. 80 кв. 43, Лохвиця, 24340",004 294 99 82,heorhiiudovenko@example.com
Юхименко,Орися,Сергіївна,Ж,15.07.1943,Фармацевт,село Суми,"парк Тінистий, буд. 923 кв. 420, Шумськ, 60783",+380 78 093-96-14,lutsenkomykolai@example.com
Дуплій,Ольга,Едуардівна,Ж,26.03.1998,Архітектор,село Дніпро ,"парк Думська, буд. 532 кв. 993, Вижниця, 87930",+380 47 133-15-76,valentynmatviienko@example.org
Бабʼюк,Оксана,Сергіївна,Ж,20.11.1996,Ріелтор,селище Ялта,"парк Головківська, буд. 19 кв. 2, Ківерці, 34748",+380 97 209-90-94,tarasaleksiuk@example.net
Данько,Віталій,Андрійович,Ч,13.05.1985,Реставратор,хутір Лутугине,"вулиця Іподромний, буд. 34, Шахтарськ, 67664",+380 80 545 40 47,bohdannaalekseienko@example.com
Ватаманюк,Пріска,Андріївна,Ж,28.01.1996,Кур'єр,хутір Христинівка,"вулиця Амундсена, 3-й, буд. 21, Боярка, 92862",+380 78 677-44-05,rmasokha@example.com
Свистун,Охрім,Олексійович,Ч,10.06.1971,Модельєр,місто Рахів,"площа Жолкова Бориса, буд. 19 кв. 41, Винники, 72348",+380 04 071-65-20,mariia27@example.com
Орлик,Лілія,Дмитрівна,Ж,12.01.2006,Фізик,село Берислав,"шосе Амбулаторний 1-й, буд. 748, Полонне, 48086",733-34-93,fasaula@example.com
Шаповал,Демид,Дмитрович,Ч,10.03.1987,Ювелір,селище Пирятин,"парк Іванова Ігоря, буд. 0 кв. 83, Горохів, 94498",+380 (46) 659-21-33,lfilipenko@example.net
Андрійчук,Мілена,Дмитрівна,Ж,18.03.1987,Стиліст,селище Ананьїв,"набережна Академіка Воробйова, буд. 03 кв. 856, Кам'янка (Черкаська область), 40945",+380 41 466-33-83,zasiadkolevko@example.org
Закусило,Аліна,Едуардівна,Ж,22.12.1957,Композитор,село Корець,"провулок Стеценко, буд. 756 кв. 56, Довжанськ, 53615",+380 52 758-63-92,yvivcharenko@example.com
Ґерета,Семен,Володимирович,Ч,26.11.1953,Мікробіолог,місто Ладижин,"шосе Державіна, буд. 2 кв. 8, Євпаторія, 44331",009 208 61 65,iefrem17@example.org
Ґоляш,Охрім,Петрович,Ч,06.09.2003,Парфюмер,хутір Глобине,"сквер Кар’єрна, буд. 91, П'ятихатки, 23439",044 193-59-41,zabilaorest@example.org
Гавришкевич,Орися,Петрівна,Ж,24.12.1969,М'ясник,хутір Чортків,"сквер Ромашкова, буд. 8, Новоазовськ, 73930",+380 (39) 042-85-34,mmazepa@example.net
Деряжний,Петро,Дмитрович,Ч,02.04.1980,Астрофізик,місто Теребовля,"сквер Скидановська, буд. 3, Судак , 95698",+380 (92) 028-55-13,dannaaleksiichuk@example.com
Якимчук,Ярема,Олексійович,Ч,10.08.1956,М'ясник,село Кремінна,"сквер Юрія Яновського, буд. 290 кв. 596, Новояворівськ, 83698",+380 29 144 87 69,gdotsenko@example.net
Петренко,Ігор,Сергійович,Ч,23.05.1999,Епідеміолог,село Слов'янськ,"проспект Миколи Бажана, буд. 3 кв. 78, Миргород, 39772",+380 02 737-98-07,alevtyn03@example.net
Корпанюк,Лесь,Єгорович,Ч,06.10.1994,Акушер,хутір Баштанка,"провулок Чорноморська, буд. 092 кв. 79, Тетіїв, 95631",+380 (72) 355-77-52,hshakhrai@example.net
Яременко,Тарас,Михайлович,Ч,15.03.1972,Промисловець,селище Дрогобич,"парк Овідіопольська дуга, буд. 55 кв. 4, Судова Вишня, 70480",052 334-69-91,snizhana80@example.net
Палій,Нестор,Богданович,Ч,14.09.1967,Електромонтажник,хутір Борзна,"шосе Побратимів, буд. 909, Дніпрорудне, 82944",077 111-37-22,bohodar99@example.com
Копитко,Трохим,Михайлович,Ч,15.05.1982,Диригент,місто Першотравенськ,"вулиця Пушкінська, буд. 608 кв. 198, Монастирище, 23241",+380 89 003 11 97,shevchenkopavlo@example.org
Шевченко,Галина,Єгорівна,Ж,20.06.1972,Модель,хутір Гірник ,"вулиця Каманіна, буд. 90 кв. 3, Лиман , 57951",+380 (13) 340-57-14,khudobiakiakiv@example.org
Проценко,Юстина,Петрівна,Ж,11.06.1996,Льотчик,село Чернігів,"парк Академіка Богатського, буд. 180 кв. 6, Дубровиця, 34667",242-00-01,mykolaivovk@example.net
Назаренко,Богданна,Олексіївна,Ж,24.06.1954,Льотчик,селище Канів,"провулок Фруктовий, буд. 958, Вовчанськ, 71692",281 47 27,olifirenkorozaliia@example.net
Ейбоженко,Володимира,Єгорівна,Ж,24.11.1991,Штукатур,село Новоазовськ,"вулиця Елеваторна, буд. 762, Новоазовськ, 02613",570-81-95,rostyslavzhuravel@example.org
Даньків,Костянтин,Михайлович,Ч,07.05.1943,Соціолог,село Лебедин,"провулок Баркасний, буд. 18, Хирів, 51202",+380 79 564-35-66,mykyta88@example.com
Шухевич,Руслан,Едуардович,Ч,02.01.1981,Журналіст,хутір Зборів,"сквер Сирітський, буд. 28, Керч, 40467",360-37-52,oleksastets@example.org
Лесик,Климент,Сергійович,Ч,18.11.1976,Електрик,місто Жашків,"вулиця Кладовищенська, буд. 25, Молодогвардійськ, 23625",083 750-44-77,vitalii94@example.net
Гоголь,Спас,Дмитрович,Ч,06.08.2002,Локсмайстер,місто Зборів,"площа Транспортна, буд. 217, Кіцмань, 63777",+380 54 111 37 28,pshchors@example.com
Тесля,Адам,Едуардович,Ч,05.11.1978,Літературознавець,місто Валки ,"парк Миколи Огренича, буд. 9, Богуслав, 42837",+380 77 029 90 65,bevzenkoielysei@example.org
Цушко,Прохір,Єгорович,Ч,23.01.1993,Педагог,хутір Золоте,"вулиця Керченський 1-й, буд. 57 кв. 5, Рені, 96188",+380 (37) 940-49-41,petrenkooleh@example.net
Даниленко,Аніта,Андріївна,Ж,07.09.1947,Лікар,селище Новгород-Сіверський,"набережна Яші Гордієнка, буд. 974 кв. 5, Сєвєродонецьк, 58914",059 437 27 19,vasylevychiryna@example.org
Тимченко,Ірена,Едуардівна,Ж,08.07.1979,Менеджер,селище Гайсин,"проспект Скидановська, буд. 79 кв. 2, Гірське, 84476",+380 27 880-59-67,elytvynenko@example.net
Швайка,Надія,Олексіївна,Ж,12.08.1974,Мистецтвознавець,місто Гола Пристань,"парк Астрономічний, буд. 08 кв. 31, Федорівка, 71107",+380 92 338-38-51,cherednykonysym@example.net
Юрчук,Лариса,Михайлівна,Ж,06.12.1973,Реабілітолог,хутір Часів Яр,"парк Романтиків, буд. 61 кв. 6, Бердянськ, 44689",016 498 44 42,myron03@example.com
Голик,Михайло,Едуардович,Ч,29.12.1992,Художник,село Ковель,"площа Отамана Головатого, буд. 50 кв. 22, Бершадь, 56349",+380 41 254-82-92,nestorderiazhnyi@example.net
Вдовиченко,Роман,Сергійович,Ч,31.03.1971,Фотограф,місто Добропілля,"набережна Косовська, буд. 73 кв. 067, Приморськ (Україна), 38316",026 558-25-36,zorian49@example.net
Гаєвський,Аркадій,Петрович,Ч,09.11.1948,Реставратор,селище Євпаторія,"сквер Кругова, буд. 5, Первомайськ, 59218",+380 33 273-41-70,valentyn83@example.org
Конопленко,Ярема,Єгорович,Ч,05.01.1980,Біолог,місто Новомиргород,"парк Ванцетті, буд. 7 кв. 8, Дрогобич, 60022",806-17-71,lkalenychenko@example.net
Забіла,Віктор,Петрович,Ч,17.03.1972,Палеонтолог,хутір Шаргород,"узвіз Ростовська, буд. 135 кв. 2, Берегове, 83750",784-46-23,tetianakybkalo@example.org
Андріїшин,Любов,Олексіївна,Ж,10.12.1957,Єгер,селище Березань ,"шосе Аеродромний 2-й, буд. 460 кв. 56, Рахів, 45893",+380 95 136 84 28,hizhak@example.com
Андріїшин,Варвара,Сергіївна,Ж,26.09.1968,Складальник,село Батурин,"узвіз Бірюкова, буд. 01, Тячів, 40914",291 38 60,iakymenkoliliia@example.org
Бабиченко,Владислав,Сергійович,Ч,05.02.1989,Шериф,місто Борщів,"провулок Садиковська, буд. 34, Івано-Франківськ, 44545",012 026 45 99,hennadiinehoda@example.org
Забарний,Семен,Андрійович,Ч,15.07.2004,Краєзнавець,місто Южноукраїнськ,"вулиця Мирна, буд. 5, Жмеринка, 96257",+380 91 704 63 08,lizavakarchuk@example.com
Дуплій,Едуард,Едуардович,Ч,04.07.1987,Паблік рилейшнз,селище Черкаси,"узвіз 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 57 кв. 98, Тлумач, 60930",+380 85 675-72-04,svitlana44@example.com
Чередник,Валерій,Богданович,Ч,25.05.1982,Бухгалтер,місто Докучаєвськ,"набережна Стахановський 4-й, буд. 49, Березне, 40960",+380 59 103 62 81,lavrenkoiaroslav@example.com
Голобородько,Одарка,Андріївна,Ж,27.04.1998,Ріелтор,селище Ворожба,"шосе Наявний 4-й, буд. 83, Берестечко, 31361",+380 76 385-87-54,avreliibaranyk@example.com
Бебешко,Ірена,Єгорівна,Ж,05.02.1959,Єгер,село Шепетівка,"узвіз Лютневий 2-й, буд. 918, Барвінкове, 09896",+380 (67) 205-37-10,priskadanko@example.net
Дубенко,Володимир,Сергійович,Ч,22.02.1938,Епідеміолог,місто Хуст,"сквер 9-та Лінія Дачі Ковалевського, буд. 3, Самбір, 14989",+380 55 885-25-83,vmoskal@example.com
Кабаненко,Валентин,Андрійович,Ч,27.12.1941,Програміст,місто Погребище,"провулок Тепла, буд. 7 кв. 4, Свалява, 80075",+380 (36) 527-78-77,albina44@example.net
Бездітко,Зиновій,Богданович,Ч,27.02.1965,Музикознавець,хутір Таврійськ,"вулиця Павла Кравцова, буд. 6 кв. 87, Вараш, 36375",097 221 14 11,biarosh@example.org
Закусило,Камілла,Єгорівна,Ж,16.09.1997,Флорист,селище Вознесенськ,"площа Болградська, буд. 29 кв. 1, Кіцмань, 39415",+380 99 996-59-31,orest34@example.org
Юрченко,Пармен,Володимирович,Ч,08.05.1957,Сантехнік,місто Дніпрорудне,"сквер Перемоги, буд. 97 кв. 6, Кам'янка-Бузька, 79961",+380 54 611-49-08,mykytabevzenko@example.net
Іщак,Валентин,Єгорович,Ч,13.08.1976,Громадський діяч,село Дергачі,"сквер Асєєва Юрія, буд. 8, Стебник, 07989",+380 05 460-81-05,fduplii@example.org
Авдєєнко,Амалія,Дмитрівна,Ж,06.10.1995,Гірничий інженер,хутір Білозерське,"проспект Віри Інбер, буд. 8, Чорноморськ, 24461",+380 39 260-64-65,baranykliliia@example.org
Лукаш,Пріска,Сергіївна,Ж,22.11.1970,Музикант,село Кам'янка-Дніпровська,"сквер Чорноморська, буд. 159, Апостолове, 88720",+380 71 123-46-54,mykhailynakhmara@example.net
Андрощук,Мирон,Михайлович,Ч,09.12.1998,Геофізик,село Бережани,"узвіз Молоді, буд. 68 кв. 12, Глобине, 25989",+380 87 038 75 34,korbutdmytro@example.com
Атрощенко,Любов,Михайлівна,Ж,17.03.1961,Інженер,селище Бровари,"парк Тупиковий 2-й, буд. 9 кв. 1, Чистякове, 78225",392 48 12,veniiamynkyrylenko@example.net
Зінкевич,Аліна,Михайлівна,Ж,12.06.1943,Агроном,селище Миколаїв,"шосе 5-та Суворовська, буд. 205 кв. 2, Чорноморськ, 29292",+380 (22) 449-48-32,avreliimasliak@example.org
Франчук,Варфоломій,Дмитрович,Ч,21.04.2004,Мовознавець,село Заліщики,"площа Розкидайлівська, буд. 1 кв. 4, Новояворівськ, 53354",342-20-57,apiddubnyi@example.org
Михалюк,Кирило,Олексійович,Ч,03.06.1967,Кушнір,селище Підгородне,"узвіз Елеваторна, буд. 2, Київ, 47723",627 07 85,ababko@example.com
Іщенко,Орися,Петрівна,Ж,07.02.1963,Намотувальник,хутір Біляївка,"проспект Новомосковська дорога, буд. 5 кв. 3, Радомишль, 54317",864 99 06,lesakulenko@example.org
Корж,Варфоломій,Богданович,Ч,21.10.1946,Фотограф,селище Світловодськ,"сквер Дачний, буд. 0, Луцьк, 09950",099 718-28-24,tymofiivlasenko@example.org
Ляшко,Михайлина,Володимирівна,Ж,07.12.1938,Дипломат,хутір Сквира,"провулок Марії Демченко, буд. 1, Миронівка, 98622",099 743-92-66,dereviankoborys@example.org
Доценко,Геннадій,Богданович,Ч,08.11.1974,Державний службовець,село Теплодар,"набережна Туристський, буд. 9, Галич, 36269",437 24 24,vashchenko-zakharchenkoalevtyn@example.com
Штокало,Назар,Михайлович,Ч,02.04.1962,Геофізик,село Золотоноша,"узвіз Висока, буд. 2, Рогатин, 28214",+380 69 169-56-46,marta61@example.org
Вертипорох,Мартин,Сергійович,Ч,18.10.1965,Фотограф,селище Світлодарськ,"вулиця Радіальний, буд. 1, Красноперекопськ, 94032",087 125 40 94,baklanivan@example.net
Шелест,Лариса,Петрівна,Ж,27.12.1950,Дерун,хутір Городенка,"парк Тимірязєва, буд. 48, Саки , 53435",+380 43 259-01-39,makar02@example.com
Бабко,Вікторія,Богданівна,Ж,06.12.1944,Фольклорист,село Енергодар,"площа Локомотивний 2-й, буд. 013 кв. 9, Старокостянтинів, 71545",899-83-26,ilchenkodanylo@example.org
Лукаш,Едуард,Дмитрович,Ч,10.09.1956,Співак,селище Кадіївка,"сквер Соляний 3-й, буд. 423, Прип'ять , 28674",056 520-99-06,gmykhailychenko@example.com
Андрейко,Ігнат,Єгорович,Ч,18.06.1975,Дерун,село Куп'янськ,"провулок Старосінна, буд. 8, Селидове, 39005",030 115-78-89,onyshchenkoiaroslava@example.net
Цюпа,Борис,Андрійович,Ч,05.02.1993,Фермер,хутір Запоріжжя,"вулиця Калнишевського Петра, буд. 58, Погребище, 53392",084 131-74-54,atamaniukbohdanna@example.org
Александренко,Назар,Володимирович,Ч,15.04.1975,Живописець,місто Дрогобич,"площа Слави, буд. 065, Долинська, 11906",+380 53 989 96 85,iurchukiukhym@example.net
Охримович,Мілена,Едуардівна,Ж,09.08.2002,Хімік,селище Південне ,"шосе Грузовий, буд. 41 кв. 954, Надвірна, 99472",+380 19 237-50-69,baklanvasyl@example.org
Свистун,Богданна,Сергіївна,Ж,10.10.2004,Кіноактор,місто Тараща,"шосе Уманська, буд. 304, Батурин, 49380",007 040 92 41,riabetsalla@example.com
Луценко,Леонтій,Петрович,Ч,20.05.1987,Фольклорист,місто Херсон,"площа Шишкіна 2-й, буд. 791, Ізюм, 04206",+380 (98) 967-78-73,rdankiv@example.com
Михайличенко,Франц,Володимирович,Ч,12.07.1983,Прокурор,місто Конотоп,"проспект Лазурний 1-й, буд. 362 кв. 799, Чуднів, 35797",777 65 13,vtsymbal@example.org
Вдовенко,Надія,Володимирівна,Ж,19.09.2003,Редактор,село Керч,"узвіз Аркадійська, буд. 79, Городок, 24299",+380 (29) 986-38-77,hodunoktereza@example.com
Павлик,Святослава,Андріївна,Ж,08.01.1975,Державний службовець,хутір Зимогір'я,"вулиця Композитора Глинки, буд. 30, Верхньодніпровськ, 26652",435 52 89,ogoliash@example.com
Якименко,Степан,Володимирович,Ч,26.01.1987,Дипломат,хутір Донецьк,"парк Грузинська, буд. 839, Могилів-Подільський, 60353",+380 11 463 30 76,demianbandura@example.org
Супруненко,Богданна,Михайлівна,Ж,08.09.1939,Геофізик,місто Яворів,"проспект Болгарська, буд. 8 кв. 22, Курахове, 43693",+380 46 966 53 56,hermanzhadan@example.org
Батіг,Святослава,Єгорівна,Ж,16.01.1994,Будник,селище Тисмениця,"провулок Французький, буд. 9, Кролевець, 10773",+380 24 536 89 10,vatamaniukiukhym@example.net
Артимович,Орина,Олексіївна,Ж,18.07.1953,Музикант,хутір Заліщики,"шосе Новобазарний, буд. 84, Керч, 02490",988-16-96,oleksandr50@example.com
Ємельяненко,Златослава,Михайлівна,Ж,18.09.1957,Модель,село Каховка,"сквер Горіхова, буд. 69 кв. 979, Вилкове, 84335",062 051-65-04,roksolana48@example.org
Бабич,Надія,Едуардівна,Ж,14.11.1994,Акушер,селище Борщів,"парк Гілельса, буд. 6, Комарно, 60091",863-20-51,nvernyhora@example.com
Авраменко,Юстим,Богданович,Ч,07.07.1955,Секретар,хутір Вовчанськ,"площа Гранатний, буд. 8, Нова Каховка, 63026",+380 (71) 079-88-24,ihnatruban@example.com
Бевз,Опанас,Олексійович,Ч,10.10.1988,Епідеміолог,село Миколаївка ,"вулиця Дворянська, буд. 774, Ізмаїл, 91521",057 209 43 91,davyd51@example.com
Онуфрієнко,Анастасія,Петрівна,Ж,15.11.2001,Філолог,місто Мар'їнка,"набережна Павлодарська, буд. 66, Жмеринка, 74894",+380 66 015-67-55,teslenkovarfolomii@example.com
Бакуменко,Леонтій,Михайлович,Ч,07.10.1973,Льотчик,селище Хирів,"набережна Спартаківський, буд. 12, Почаїв, 58175",798-83-58,ivakarchuk@example.org
Кармалюк,Павло,Сергійович,Ч,20.11.1971,Геофізик,село Алушта,"шосе Скидановський узвіз, буд. 289 кв. 7, Вишгород, 58985",+380 97 604-35-83,hkylymnyk@example.com
Дутка,Віктор,Сергійович,Ч,22.09.1992,Соціолог,село Монастирище,"вулиця Лінія 32-га, буд. 571 кв. 14, Жашків, 11024",536 68 11,rubetsoleh@example.org
Гресь,Пилип,Сергійович,Ч,14.12.1984,Патологоанатом,селище Копичинці,"проспект Іванова Ігоря, буд. 0, Обухів, 89366",+380 (75) 607-20-11,klavdiiadanylchuk@example.com
Авраменко,Орися,Володимирівна,Ж,01.08.1965,Модельєр,селище Снятин,"набережна Озерна, буд. 0 кв. 3, Амвросіївка, 93996",+380 18 319 90 64,babramchuk@example.net
Дзюба,Макар,Богданович,Ч,18.11.1944,Астроном,місто Берислав,"провулок Бахчева, буд. 263, Теплодар, 87954",073 938-08-07,makarenkoserhii@example.com
Батюк,Олександр,Михайлович,Ч,24.01.1985,Мовознавець,селище Тлумач,"парк Лобачевського, буд. 363, П'ятихатки, 78856",017 688-36-32,anzhelaivanychuk@example.net
Лупій,Надія,Андріївна,Ж,05.07.1996,Кінорежисер,селище Кам'янка (Черкаська область),"шосе Рівності 1-й, буд. 2, Львів, 44359",023 990-16-53,komarandrii@example.org
Байрак,Юстина,Сергіївна,Ж,07.12.1974,Музикант,селище Моспине,"провулок Кибальчича, буд. 226, Таврійськ, 29857",+380 17 362-33-40,skorykmilena@example.net
Дараган,Назар,Едуардович,Ч,27.06.1987,Піаніст,місто Ямпіль,"вулиця Степний 2-й, буд. 6, Кременчук, 15881",085 802-20-20,rumanets@example.com
Салій,Юхим,Богданович,Ч,11.06.1974,Машиніст,селище Інкерман,"вулиця Академіка Ясиновського, буд. 266, Дубляни, 51673",+380 (41) 108-41-70,klyment72@example.org
Бандера,Антон,Андрійович,Ч,29.11.1980,Флорист,селище Ясинувата,"парк Канатний, буд. 4, Сновськ, 54993",356 23 53,stepanhaidenko@example.com
Вергун,Соломон,Єгорович,Ч,25.07.1994,Етнограф,селище Українськ,"вулиця Рєпіна, буд. 208 кв. 008, Соледар, 26565",+380 28 890 08 56,les66@example.org
Стус,Галина,Володимирівна,Ж,31.01.1972,Мірошник,місто Івано-Франківськ,"сквер Ланжеронівський узвіз, буд. 822, Балта, 60572",+380 (05) 624-13-31,ada09@example.net
Влох,Ольга,Михайлівна,Ж,12.08.1995,Підприємець,селище Новомосковськ,"площа Світлий, буд. 06, Пустомити, 96521",+380 (37) 658-07-04,okseniiadeisun@example.com
Лазаренко,Марʼяна,Андріївна,Ж,08.12.1991,Паблік рилейшнз,селище Рубіжне,"площа Корнюшина, буд. 04, Сєвєродонецьк, 17611",670-78-38,amvrosiireva@example.net
Ватаманюк,Прохір,Петрович,Ч,12.04.1954,Водій,місто Іловайськ,"вулиця Грецька, буд. 3 кв. 49, Ходорів, 01782",206 90 64,daryna46@example.net
Даценко,Герман,Едуардович,Ч,22.06.2004,Єгер,селище Радехів,"провулок Віри Холодної, буд. 33 кв. 531, Чортків, 16888",+380 (72) 311-50-39,leonidmiroshnychenko@example.com
Сиротенко,Миколай,Петрович,Ч,03.11.1987,Художник,хутір Ізмаїл,"парк Колекційна, буд. 8 кв. 3, Рожище, 67731",+380 (50) 406-24-20,liudmyla11@example.net
Філіпенко,Пилип,Дмитрович,Ч,21.06.1964,Патологоанатом,селище Радомишль,"набережна Світла, буд. 53, Моспине, 85768",855-08-99,boryslav31@example.org
Вакуленко,Оксенія,Едуардівна,Ж,12.03.1960,Модель,селище Чигирин,"площа Партизанської Слави, буд. 282 кв. 5, Прип'ять , 22665",097 853 29 92,ostapchukielysaveta@example.com
Сіробаба,Віктор,Дмитрович,Ч,18.10.1959,Головний меркшейдер,селище Великі Мости,"сквер Радіо, буд. 499 кв. 97, Вознесенськ, 92616",+380 (63) 512-87-18,skybavadym@example.org
Кармалюк,Теодор,Володимирович,Ч,17.11.2008,Електрик,хутір Підгайці,"вулиця Сабанєєв, буд. 406 кв. 731, Сніжне, 82346",+380 52 734-60-54,panteleimonhuzenko@example.org
Журба,Амвросій,Дмитрович,Ч,14.01.1969,Шериф,село Овруч,"проспект Стеценко, буд. 338, Бучач, 92694",+380 50 655-35-39,rudykhennadii@example.net
Макогон,Світлана,Петрівна,Ж,31.03.1992,Стиліст,місто Почаїв,"проспект Літературна, буд. 612, Переяслав, 80682",+380 53 686 53 30,violettadashenko@example.com
Шелест,Богуслава,Олексіївна,Ж,02.05.1969,Стиліст,село Балта,"шосе Привокзальна, буд. 574 кв. 886, Барвінкове, 16227",659-09-03,marianaderehus@example.net
Гупало,Тарас,Сергійович,Ч,05.09.1979,Кіноактор,місто Снігурівка,"шосе Скляний 1-й, буд. 98, Кам'янка-Бузька, 51881",320-80-42,aumanets@example.org
Ющенко,Антон,Сергійович,Ч,27.07.1995,Парфюмер,місто Пологи ,"площа Недєліна, буд. 6, Малин, 58140",359-14-71,khoma89@example.org
Андрусенко,Левко,Дмитрович,Ч,14.07.1963,Філолог,місто Пирятин,"сквер Локомотивний 4-й, буд. 7 кв. 5, Самбір, 12755",051 533-84-72,avyshniak@example.com
Ґалаґан,Юстина,Андріївна,Ж,16.03.2000,Фармацевт,селище Моспине,"площа Першотравневий 2-й, буд. 67, Бершадь, 49395",874 87 50,kostiantyniaremkiv@example.org
Копитко,Альберт,Сергійович,Ч,07.05.1968,Хімік,селище Зеленодольськ,"набережна Керченський 1-й, буд. 935, Калуш, 07962",318-17-46,lderkach@example.org
Литвиненко,Ярослава,Андріївна,Ж,08.12.2004,Адвокат,село Глобине,"набережна Відважних, буд. 3 кв. 555, Новоазовськ, 08065",123 41 35,vladyslav38@example.com
Ажажа,Тетяна,Єгорівна,Ж,13.03.1977,Графік,селище Берестечко,"площа Сміливий, буд. 71, Мала Виска, 92511",915 32 51,hlib74@example.net
Макаренко,Дан,Богданович,Ч,15.11.1965,Антрополог,хутір Міусинськ,"узвіз Обільний 2-й, буд. 8, Горішні Плавні, 33862",129 72 11,jtokar@example.org
Журба,Онисим,Єгорович,Ч,16.07.1992,Мистецтвознавець,місто Первомайськ,"площа Якутська, буд. 03 кв. 179, Інкерман, 54558",154 55 30,romanhaievskyi@example.net
Бандура,Дарина,Андріївна,Ж,09.12.1987,Мірошник,хутір Берегове,"проспект Бірюкова, буд. 00, Немирів, 10334",401 17 74,androshchukvalentyn@example.net
Гайденко,Марʼяна,Олексіївна,Ж,10.08.1961,Психолог,селище Бучач,"набережна Басейний 6-й, буд. 725 кв. 645, Джанкой, 08426",042 01 20,danna01@example.org
Верхола,Валентин,Едуардович,Ч,26.08.2005,Ґрунтознавець,місто Боково-Хрустальне,"сквер Шухевича Романа, буд. 3, Заставна, 83155",081 703-26-88,jgalagan@example.net
Короленко,Герман,Петрович,Ч,03.05.2006,Шериф,селище Чорнобиль,"проспект 11-та Лінія Марії Демченко, буд. 573 кв. 918, Южноукраїнськ, 26324",020 620 84 97,petrokanivets@example.org
Єрошенко,Василь,Дмитрович,Ч,19.03.1956,Соціолог,місто Пустомити,"набережна Короленка, буд. 92, Мелітополь, 61072",102-85-03,sfartushniak@example.com
